party_id,month_date,net_flow,cumulative_net_flow
9c39c85f-da56-58b6-850f-c86d0efd3299,2019-11-01,52957.0,52957.0
9c39c85f-da56-58b6-850f-c86d0efd3299,2020-01-01,304100.0,357057.0
9c39c85f-da56-58b6-850f-c86d0efd3299,2020-02-01,96631.0,453688.0
9c39c85f-da56-58b6-850f-c86d0efd3299,2020-06-01,329193.0,782881.0
9c39c85f-da56-58b6-850f-c86d0efd3299,2020-07-01,190742.5,973623.5
9c39c85f-da56-58b6-850f-c86d0efd3299,2020-08-01,53120.0,1026743.5
9c39c85f-da56-58b6-850f-c86d0efd3299,2020-10-01,306095.0,1332838.5
9c39c85f-da56-58b6-850f-c86d0efd3299,2020-11-01,229802.0,1562640.5
9c39c85f-da56-58b6-850f-c86d0efd3299,2021-01-01,300898.0,1863538.5
9c39c85f-da56-58b6-850f-c86d0efd3299,2021-02-01,126019.0,1989557.5
9c39c85f-da56-58b6-850f-c86d0efd3299,2021-06-01,100100.0,2089657.5
9c39c85f-da56-58b6-850f-c86d0efd3299,2021-07-01,88812.0,2178469.5
9c39c85f-da56-58b6-850f-c86d0efd3299,2021-12-01,121618.0,2300087.5
9c39c85f-da56-58b6-850f-c86d0efd3299,2022-01-01,75516.0,2375603.5
9c39c85f-da56-58b6-850f-c86d0efd3299,2022-02-01,68210.0,2443813.5
9c39c85f-da56-58b6-850f-c86d0efd3299,2022-06-01,35573.0,2479386.5
9c39c85f-da56-58b6-850f-c86d0efd3299,2022-07-01,245490.0,2724876.5
9c39c85f-da56-58b6-850f-c86d0efd3299,2022-09-01,165990.0,2890866.5
9c39c85f-da56-58b6-850f-c86d0efd3299,2022-10-01,276295.0,3167161.5
9c39c85f-da56-58b6-850f-c86d0efd3299,2022-12-01,136181.0,3303342.5
9c39c85f-da56-58b6-850f-c86d0efd3299,2023-01-01,137452.0,3440794.5
9c39c85f-da56-58b6-850f-c86d0efd3299,2023-02-01,84395.0,3525189.5
9c39c85f-da56-58b6-850f-c86d0efd3299,2023-05-01,139587.5,3664777.0
9c39c85f-da56-58b6-850f-c86d0efd3299,2023-06-01,20380.0,3685157.0
9c39c85f-da56-58b6-850f-c86d0efd3299,2023-08-01,226407.0,3911564.0
9c39c85f-da56-58b6-850f-c86d0efd3299,2023-11-01,250750.0,4162314.0
9c39c85f-da56-58b6-850f-c86d0efd3299,2023-12-01,148282.0,4310596.0
9c39c85f-da56-58b6-850f-c86d0efd3299,2024-03-01,213329.0,4523925.0
9c39c85f-da56-58b6-850f-c86d0efd3299,2024-05-01,208037.0,4731962.0
9c39c85f-da56-58b6-850f-c86d0efd3299,2024-07-01,490657.0,5222619.0
9c39c85f-da56-58b6-850f-c86d0efd3299,2024-08-01,126282.0,5348901.0
9c39c85f-da56-58b6-850f-c86d0efd3299,2024-09-01,124249.0,5473150.0
9c39c85f-da56-58b6-850f-c86d0efd3299,2024-10-01,249240.0,5722390.0
9c39c85f-da56-58b6-850f-c86d0efd3299,2024-11-01,82365.0,5804755.0
9c39c85f-da56-58b6-850f-c86d0efd3299,2024-12-01,190241.0,5994996.0
9c39c85f-da56-58b6-850f-c86d0efd3299,2025-08-01,-263806.81,5731189.19
9c39c85f-da56-58b6-850f-c86d0efd3299,2025-09-01,-101422.36,5629766.82
9c39c85f-da56-58b6-850f-c86d0efd3299,2025-10-01,-38493.2,5591273.62
9c39c85f-da56-58b6-850f-c86d0efd3299,2025-11-01,173486.39,5764760.01
9c39c85f-da56-58b6-850f-c86d0efd3299,2025-12-01,-37170.41,5727589.6
9c39c85f-da56-58b6-850f-c86d0efd3299,2026-01-01,-280651.03,5446938.58
9c39c85f-da56-58b6-850f-c86d0efd3299,2026-02-01,-54745.57,5392193.0
9c39c85f-da56-58b6-850f-c86d0efd3299,2026-03-01,7452.94,5399645.95
9c39c85f-da56-58b6-850f-c86d0efd3299,2026-04-01,-92677.75,5306968.2
9c39c85f-da56-58b6-850f-c86d0efd3299,2026-05-01,84355.27,5391323.47
9c39c85f-da56-58b6-850f-c86d0efd3299,2026-06-01,-75707.63,5315615.84
9c39c85f-da56-58b6-850f-c86d0efd3299,2026-07-01,-577097.62,4738518.22
9c39c85f-da56-58b6-850f-c86d0efd3299,2026-08-01,-195210.33,4543307.89
