party_id,institution_name,institution_id,account_id,product_family,holding_name,holding_key,unit_price,quantity,gross_amount,quantity_reported,gross_amount_reported,currency,reference_date,synced_at,data_quality_flags
11cc5703-4e06-5fb6-b1e9-c444f749d74c,BTG Banking,00000000000004,ccdc8073-a0e3-5799-992d-9af6310ba197,variable_incomes,PETR4,PETR4,10.0891,90426.0,912319.36,90426.0,912360.67,BRL,2026-08-20,2026-08-20 09:49:40,"[investment_id:multiple, isin_code:missing]"
11cc5703-4e06-5fb6-b1e9-c444f749d74c,BTG Banking,00000000000004,ccdc8073-a0e3-5799-992d-9af6310ba197,variable_incomes,BBDC4,BBDC4,33.0816,17572.0,581309.74,12259.0,405544.5,BRL,2026-08-20,2026-08-20 09:49:40,"[investment_id:multiple, isin_code:missing, quantity_reported:stale]"
11cc5703-4e06-5fb6-b1e9-c444f749d74c,BTG Banking,00000000000004,ccdc8073-a0e3-5799-992d-9af6310ba197,variable_incomes,ITUB4,ITUB4,24.9844,22643.0,565722.24,23488.0,586819.56,BRL,2026-08-20,2026-08-20 09:49:40,"[investment_id:multiple, quantity_reported:stale]"
11cc5703-4e06-5fb6-b1e9-c444f749d74c,BTG Banking,00000000000004,ccdc8073-a0e3-5799-992d-9af6310ba197,variable_incomes,B3SA3,B3SA3,53.6486,9985.0,535681.66,9851.0,528497.97,BRL,2026-08-20,2026-08-20 09:49:40,"[investment_id:multiple, quantity_reported:stale]"
11cc5703-4e06-5fb6-b1e9-c444f749d74c,BTG Banking,00000000000004,ccdc8073-a0e3-5799-992d-9af6310ba197,funds,TESOURO SELIC SIMPLES FIRF,32915987000180,62.3754,7772.225044,484795.62,7617.056,344293.46,BRL,2026-08-20,2026-08-20 09:49:40,"[gross:not_quantity_times_price, investment_id:multiple, lot:zero_kept, net:above_gross, quantity_reported:stale]"
11cc5703-4e06-5fb6-b1e9-c444f749d74c,BTG Banking,00000000000004,ccdc8073-a0e3-5799-992d-9af6310ba197,funds,KAPITALO KAPPA FIC FIM,18318213000154,26.5664,18203.74467,483608.21,18787.924528,499102.76,BRL,2026-08-20,2026-08-20 09:49:40,"[investment_id:multiple, quantity_reported:stale]"
11cc5703-4e06-5fb6-b1e9-c444f749d74c,BTG Banking,00000000000004,ccdc8073-a0e3-5799-992d-9af6310ba197,variable_incomes,HASH11,HASH11,63.8292,7207.0,460016.9,6788.0,433268.53,BRL,2026-08-20,2026-08-20 09:49:40,"[investment_id:multiple, quantity_reported:stale]"
11cc5703-4e06-5fb6-b1e9-c444f749d74c,BTG Banking,00000000000004,ccdc8073-a0e3-5799-992d-9af6310ba197,funds,SPX NIMITZ ESTRUTURAL FIC FIM,34177667000185,38.3663,11599.043746,445012.12,15294.025974,586789.23,BRL,2026-08-20,2026-08-20 09:49:40,"[investment_id:multiple, quantity_reported:stale]"
11cc5703-4e06-5fb6-b1e9-c444f749d74c,BTG Banking,00000000000004,ccdc8073-a0e3-5799-992d-9af6310ba197,credit_fixed_incomes,MRS LOGISTICA S/A,BRDEBSEC05A5|01417222000177|2029-06-15,995.84,376.440745,374874.75,172.424,171706.03,BRL,2026-08-20,2026-08-20 09:49:40,[quantity_reported:stale]
11cc5703-4e06-5fb6-b1e9-c444f749d74c,BTG Banking,00000000000004,ccdc8073-a0e3-5799-992d-9af6310ba197,funds,ALASKA BLACK FIC FIA - BDR NIVEL I,11052478000102,2.5016,137732.696053,344554.32,126697.2,316974.23,BRL,2026-08-20,2026-08-20 09:49:40,"[investment_id:multiple, quantity_reported:stale]"
11cc5703-4e06-5fb6-b1e9-c444f749d74c,BTG Banking,00000000000004,ccdc8073-a0e3-5799-992d-9af6310ba197,treasure_titles,Tesouro IPCA+ 2035,Tesouro IPCA+ 2035,1242.5302,275.11,341832.47,278.81,346430.17,BRL,2026-08-20,2026-08-20 09:49:40,"[investment_id:multiple, quantity_reported:stale]"
11cc5703-4e06-5fb6-b1e9-c444f749d74c,BTG Banking,00000000000004,ccdc8073-a0e3-5799-992d-9af6310ba197,funds,SELECAO DIVIDENDOS FIC FIA,07059417000107,50.6132,6311.177686,319429.18,6324.712871,278248.33,BRL,2026-08-20,2026-08-20 09:49:40,"[gross:not_quantity_times_price, investment_id:multiple, lot:zero_kept, net:above_gross, quantity_reported:stale]"
11cc5703-4e06-5fb6-b1e9-c444f749d74c,BTG Banking,00000000000004,ccdc8073-a0e3-5799-992d-9af6310ba197,funds,IPCA LONGA DURACAO FIC FIRF,29562673000117,14.4179,19776.611107,285136.71,24657.172414,355562.18,BRL,2026-08-20,2026-08-20 09:49:40,"[investment_id:multiple, quantity_reported:stale]"
11cc5703-4e06-5fb6-b1e9-c444f749d74c,BTG Banking,00000000000004,ccdc8073-a0e3-5799-992d-9af6310ba197,variable_incomes,BPAC11,BPAC11,48.8517,5651.0,276060.69,8760.0,427925.52,BRL,2026-08-20,2026-08-20 09:49:40,"[investment_id:multiple, quantity_reported:stale]"
11cc5703-4e06-5fb6-b1e9-c444f749d74c,BTG Banking,00000000000004,ccdc8073-a0e3-5799-992d-9af6310ba197,bank_fixed_incomes,LCA,BRBANKLCA3A3|60746948000112|2020-12-15|2023-12-01,1007.56,270.856073,272903.75,196.762,198249.52,BRL,2026-08-20,2026-08-20 09:49:40,"[holding:matured, quantity_reported:stale]"
11cc5703-4e06-5fb6-b1e9-c444f749d74c,BTG Banking,00000000000004,ccdc8073-a0e3-5799-992d-9af6310ba197,variable_incomes,VALE3,VALE3,17.0787,15892.0,271415.24,16727.0,285690.99,BRL,2026-08-20,2026-08-20 09:49:40,"[investment_id:multiple, quantity_reported:stale]"
11cc5703-4e06-5fb6-b1e9-c444f749d74c,BTG Banking,00000000000004,ccdc8073-a0e3-5799-992d-9af6310ba197,variable_incomes,NULL,3017111220589413,32.77,8263.0,270778.51,6678.0,218823.37,BRL,2026-08-20,2026-08-20 09:49:40,"[isin_code:missing, natural_key:missing, quantity_reported:stale, ticker:missing]"
