party_id,month_date,net_flow,cumulative_net_flow
11cc5703-4e06-5fb6-b1e9-c444f749d74c,2019-10-01,623786.5,623786.5
11cc5703-4e06-5fb6-b1e9-c444f749d74c,2019-11-01,534029.5,1157816.0
11cc5703-4e06-5fb6-b1e9-c444f749d74c,2020-01-01,179717.0,1337533.0
11cc5703-4e06-5fb6-b1e9-c444f749d74c,2020-02-01,20181.0,1357714.0
11cc5703-4e06-5fb6-b1e9-c444f749d74c,2020-03-01,51312.0,1409026.0
11cc5703-4e06-5fb6-b1e9-c444f749d74c,2020-04-01,307629.0,1716655.0
11cc5703-4e06-5fb6-b1e9-c444f749d74c,2020-06-01,325337.0,2041992.0
11cc5703-4e06-5fb6-b1e9-c444f749d74c,2020-07-01,16052.0,2058044.0
11cc5703-4e06-5fb6-b1e9-c444f749d74c,2020-08-01,536982.0,2595026.0
11cc5703-4e06-5fb6-b1e9-c444f749d74c,2020-09-01,517941.0,3112967.0
11cc5703-4e06-5fb6-b1e9-c444f749d74c,2020-10-01,262606.0,3375573.0
11cc5703-4e06-5fb6-b1e9-c444f749d74c,2020-11-01,156661.0,3532234.0
11cc5703-4e06-5fb6-b1e9-c444f749d74c,2020-12-01,226173.0,3758407.0
11cc5703-4e06-5fb6-b1e9-c444f749d74c,2021-01-01,248948.0,4007355.0
11cc5703-4e06-5fb6-b1e9-c444f749d74c,2021-02-01,521590.0,4528945.0
11cc5703-4e06-5fb6-b1e9-c444f749d74c,2021-03-01,470755.5,4999700.5
11cc5703-4e06-5fb6-b1e9-c444f749d74c,2021-04-01,514829.0,5514529.5
11cc5703-4e06-5fb6-b1e9-c444f749d74c,2021-05-01,626567.0,6141096.5
11cc5703-4e06-5fb6-b1e9-c444f749d74c,2021-06-01,284440.5,6425537.0
11cc5703-4e06-5fb6-b1e9-c444f749d74c,2021-07-01,325161.0,6750698.0
11cc5703-4e06-5fb6-b1e9-c444f749d74c,2021-08-01,58681.0,6809379.0
11cc5703-4e06-5fb6-b1e9-c444f749d74c,2021-09-01,138152.0,6947531.0
11cc5703-4e06-5fb6-b1e9-c444f749d74c,2021-10-01,779177.0,7726708.0
